STATE,NPA,NXX,RATE CENTER ABBREVIATION,NOTES
NY,516,397,SELDEN,
NY,516,438,SELDEN,
NY,516,443,SELDEN,
NY,516,446,SELDEN,
NY,516,449,SELDEN,
NY,516,480,SELDEN,
NY,516,527,SELDEN,
NY,516,556,SELDEN,
NY,516,617,SELDEN,
NY,516,635,SELDEN,
NY,516,658,SELDEN,
NY,516,702,SELDEN,
NY,516,768,SELDEN,
NY,516,769,SELDEN,
NY,516,818,SELDEN,
NY,516,819,SELDEN,
NY,516,848,SELDEN,
NY,516,885,SELDEN,
NY,516,901,SELDEN,
NY,516,948,SELDEN,
NY,516,971,SELDEN,
NY,516,982,SELDEN,
NY,516,994,SELDEN,
NY,914,388,KINGSTON,
NY,914,389,KINGSTON,
NY,914,399,KINGSTON,
NY,914,466,KINGSTON,
NY,914,706,KINGSTON,
NY,914,283,MIDDLETOWN,
NY,914,443,MIDDLETOWN,
NY,914,850,MIDDLETOWN,
NY,914,978,MIDDLETOWN,
NY,914,797,MONTICELLO,
NY,914,799,MONTICELLO,
NY,914,866,MONTICELLO,
NY,914,527,NANUET,
NY,914,213,NEWBURGH,
NY,914,541,NEWBURGH,
NY,914,542,NEWBURGH,
NY,914,755,NEWBURGH,
NY,914,805,NEWBURGH,
NY,914,204,POUGHKEPSI,
NY,914,453,POUGHKEPSI,
NY,914,456,POUGHKEPSI,
NY,914,464,POUGHKEPSI,
NY,914,474,POUGHKEPSI,
NY,914,475,POUGHKEPSI,
NY,914,489,POUGHKEPSI,
NY,914,503,POUGHKEPSI,
NY,914,264,SPRING VLY,
NY,914,906,SPRING VLY,
PA,412,671,BEAVER FLS,
PA,412,908,BEAVER FLS,
PA,412,603,BUTLER,
PA,412,614,BUTLER,
PA,412,629,BUTLER,
PA,412,585,CRIDERSCOR,
PA,412,554,GREENSBURG,
PA,412,558,GREENSBURG,
PA,412,601,GREENSBURG,
PA,412,610,GREENSBURG,
PA,412,817,GREENSBURG,
PA,412,289,INDIANA,
PA,412,309,INDIANA,
PA,412,549,KITTANNING,
PA,412,972,ROCHESTER,
PA,412,974,ROCHESTER,
PA,412,582,UNIONTOWN,
PA,412,691,UNIONTOWN,
PA,412,217,WASHINGTON,
PA,412,296,WASHINGTON,
PA,412,994,WASHINGTON,
PA,412,997,WASHINGTON,
TX,817,403,DENTON,
TX,817,997,DENTON,
