Code Status For :500,521,522,523,524,525,526,527,528,529,533,544,566,577,588	File Updated :03/07/2023
NPA	NXX	Use	OCN 	Company                                                     
500	200	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	201	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	202	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	203	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	204	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	205	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	206	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	207	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	208	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	209	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	210	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	211	AS	099G	T-MOBILE LICENSE LLC                                        
500	212	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	213	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	214	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	215	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	216	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	217	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	218	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	219	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	220	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	221	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	222	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
